Column,OBJECTI,ParclID,ClassCd,LivUnts,Address,Owner,TotAppr,LndAppr,ImprApp,TtAssss,LndAsss,ImprAss,LndAcrs,OWNERNM,imprvdR,mncpll_,vacant,undr_tl,fnl_scr,ecn_scr,bus_scr,env_scr,grcry_s,job_scr,prks_sc,trn_scr,trnsp_s,vacant2,undr_tl2,fnl_scr2
1146,8207,14 015200040466,E1,0,1261 LOCKWOOD DR SW,ATLANTA BOARD OF EDUCATION,805200,53400,751800,0,21360,300720,2.72,ATLANTA BOARD OF EDUCATION,0.066318927,1,1,1,5.900482653,0.559155422,1,0.608695652,1,0.852631579,1,0,0.88,TRUE,TRUE,5
1153,322812,17 005300100503,E6,0,784 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,309100,273300,35800,0,109320,14320,0.2146,ATLANTA BOARD OF EDUCATION,0.884179877,1,1,1,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,TRUE,5
1154,322846,17 005300100412,E1,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1155,322866,17 005300100420,E1,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1156,322878,17 005300100578,E6,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,ATLANTA BOARD OF EDUCATION THE,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1157,322888,17 005300100487,E1,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1158,322913,17 005300100404,E1,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1159,327649,17 005300100396,E1,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1160,337281,17 005300100511,E6,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,273300,273300,0,0,109320,0,0.2146,ATLANTA BOARD OF EDUCATION THE,1,1,1,NA,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,FALSE,5
1161,327627,17 005300100388,E1,0,0 VIRGINIA AVE NE,ATLANTA BOARD OF EDUCATION,365500,266900,98600,0,106760,39440,0.1951,CITY OF ATLANTA BOARD OF EDUCATION,0.730232558,1,1,1,5.829999587,0.797596841,1,0.326086957,1,0.926315789,1,0,0.78,TRUE,TRUE,5
1164,215366,14 013800021101,E1,0,1410 BRIDGES AVE SW,ATLANTA BOARD OF EDUCATION,277600,48400,229200,0,19360,91680,1.1,CITY OF ATLANTA BOARD OF EDUCATION,0.174351585,1,NA,1,5.800468356,0.535571331,1,0.52173913,1,0.863157895,1,0,0.88,FALSE,TRUE,5
1165,59464,14 013800021390,E1,0,0 GREENWOOD ST SW,ATLANTA BOARD OF EDUCATION,3100,3100,0,0,1240,0,0.5096,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.800468356,0.535571331,1,0.52173913,1,0.863157895,1,0,0.88,TRUE,FALSE,5
1174,59401,14 013800020533,E1,0,0 GREENWOOD ST SW # REAR,ATLANTA BOARD OF EDUCATION,1900,1900,0,0,760,0,0.1148,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.800468356,0.535571331,1,0.52173913,1,0.863157895,1,0,0.88,TRUE,FALSE,5
1254,274299,14 018100010092,E1,0,0 BROOKS AVE SW,ATLANTA BOARD OF EDUCATION,655500,26600,628900,0,10640,251560,1.9452,ATLANTA BOARD OF EDUCATION,0.04057971,1,NA,1,5.675187708,0.56186963,1,0.52173913,1,0.831578947,1,0,0.76,FALSE,TRUE,5
1326,76282,14 010400050555,E1,NA,1661 METROPOLITAN PKWY SW,ATLANTA BOARD OF EDUCATION,3499500,3057900,441600,0,1223160,176640,7.8,ATLANTA BOARD OF EDUCATION THE,0.873810544,1,NA,1,5.609531014,0.540972662,1,0.304347826,1,0.884210526,1,0,0.88,FALSE,TRUE,5
1335,271920,14 0024  LL0046,E1,0,0 FEDERAL ST SE,ATLANTA BOARD OF EDUCATION,387100,27000,360100,0,10800,144040,0.2755,ATLANTA BOARD OF EDUCATION,0.069749419,1,NA,1,5.605855722,0.500180665,1,0.413043478,1,0.852631579,1,0,0.84,FALSE,TRUE,5
1339,332337,14 006900020270,E1,0,0 OLD HAPEVILLE RD SW,ATLANTA BOARD OF EDUCATION,13100,13100,0,0,5240,0,1.0744,ATLANTA BOARD OF EDUCATION THE,1,1,1,NA,5.601935117,0.529212005,1,0.369565217,1,0.863157895,1,0,0.84,TRUE,FALSE,5
1340,332310,14 006900020262,E1,0,0 OLD HAPEVILLE RD SW,ATLANTA BOARD OF EDUCATION,14700,14700,0,0,5880,0,0.8992,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.601935117,0.529212005,1,0.369565217,1,0.863157895,1,0,0.84,TRUE,FALSE,5
1394,135839,14 011600081036,E1,0,0 LAWTON ST SW,ATLANTA BOARD OF EDUCATION,10100,10100,0,0,4040,0,0.0207,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.596224953,0.5080785,1,0.391304348,1,0.936842105,1,0,0.76,TRUE,FALSE,5
1412,31846,14 017600140417,E6,0,0 GRANDVIEW CT NW,ATLANTA BOARD OF EDUCATION,5200,5200,0,0,2080,0,0.6107,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.580170774,0.484335533,1,0.434782609,1,0.821052632,1,0,0.84,TRUE,FALSE,5
1599,71772,14 0054  LL0015,E6,0,0 GEORGIA AVE SE,ATLANTA BOARD OF EDUCATION,4658000,4135600,522400,0,1654240,208960,11.7,CITY OF ATLANTA BOARD OF EDUCATION,0.887848862,1,1,1,5.578801516,0.523607008,1,0.347826087,1,0.947368421,1,0,0.76,TRUE,TRUE,5
1606,308183,14 005400040812,E1,0,753 TERRY ST SE,ATLANTA BOARD OF EDUCATION,106000,106000,0,0,42400,0,0.1102,BOARD OF EDUCATION CITY OF ATLANTA,1,1,1,NA,5.578801516,0.523607008,1,0.347826087,1,0.947368421,1,0,0.76,TRUE,FALSE,5
1683,75678,14 005800010555,E1,0,0 CLAIRE DR SE,ATLANTA BOARD OF EDUCATION,17700,17700,0,0,7080,0,1.0717,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.543495834,0.48972009,1,0.369565217,1,0.884210526,1,0,0.8,TRUE,FALSE,5
1686,319191,14 005800010407,E1,0,0 CLAIRE DR SE,ATLANTA BOARD OF EDUCATION,15000,15000,0,0,6000,0,0.5234,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.543495834,0.48972009,1,0.369565217,1,0.884210526,1,0,0.8,TRUE,FALSE,5
1733,313266,14 005600040257,E6,0,0 MILTON AVE SE,ATLANTA BOARD OF EDUCATION,466200,70700,395500,0,28280,158200,1.36,ATLANTA BOARD OF EDUCATION,0.151651652,1,NA,1,5.502561376,0.48599387,1,0.391304348,1,0.905263158,1,0,0.72,FALSE,TRUE,5
1734,73926,14 005600040182,E6,0,1201 CLIMAX ST SE,ATLANTA BOARD OF EDUCATION,17600,17600,0,0,7040,0,0.7759,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.502561376,0.48599387,1,0.391304348,1,0.905263158,1,0,0.72,TRUE,FALSE,5
1736,73916,14 005600040190,E6,0,0 CLIMAX ST SE,ATLANTA BOARD OF EDUCATION,32000,32000,0,0,12800,0,0.2755,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.502561376,0.48599387,1,0.391304348,1,0.905263158,1,0,0.72,TRUE,FALSE,5
2121,336870,14 007400050916,E1,0,0 WEST AVE SW,ATLANTA BOARD OF EDUCATION,195200,195200,0,0,78080,0,1.43,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.444206485,0.47876026,1,0.239130435,1,0.926315789,1,0,0.8,TRUE,FALSE,5
2671,343141,14 008600091486,E6,0,884 WELCH ST SW,ATLANTA BOARD OF EDUCATION,26100,26100,0,0,10440,0,0.1377,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.346111114,0.425607681,1,0.282608696,1,0.957894737,1,0,0.68,TRUE,FALSE,5
2672,343221,14 008600091478,E6,1,0 WELCH ST SW,ATLANTA BOARD OF EDUCATION,26100,26100,0,0,10440,0,0.1377,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.346111114,0.425607681,1,0.282608696,1,0.957894737,1,0,0.68,TRUE,FALSE,5
2879,59396,14 013800010682,E1,0,0 GREENWOOD ST SW,ATLANTA BOARD OF EDUCATION,3500,3500,0,0,1400,0,0.7677,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.300468356,0.535571331,0.5,0.52173913,1,0.863157895,1,0,0.88,TRUE,FALSE,5
4284,170110,14 0179  LL0205,E6,0,0 JOSEPH E BOONE BLVD NW,ATLANTA BOARD OF EDUCATION,10000,10000,0,0,4000,0,6.65,ATLANTA BOARD OF EDUCATION,1,1,1,NA,4.937871867,0.567505734,1,0.47826087,0.25,0.842105263,1,0,0.8,TRUE,FALSE,4
4395,274909,14 0026  LL0432,E6,0,0 THOMASVILLE BLVD SE,ATLANTA BOARD OF EDUCATION,30700,30700,0,0,12280,0,12.18,ATLANTA BOARD OF EDUCATION,1,1,1,NA,4.553131222,0.513451588,0,0.456521739,1,0.863157895,1,0,0.72,TRUE,FALSE,4
4414,319202,14 005800010456,E1,0,0 DALEVIEW DR SE,ATLANTA BOARD OF EDUCATION,14900,14900,0,0,5960,0,0.5165,ATLANTA BOARD OF EDUCATION,1,1,1,NA,4.543495834,0.48972009,1,0.369565217,0,0.884210526,1,0,0.8,TRUE,FALSE,4
4429,242826,14 0002  LL0299,E6,0,0 HENDON RD SE,ATLANTA BOARD OF EDUCATION,626000,626000,0,0,250400,0,8,ATLANTA BOARD OF EDUCATION,1,1,1,NA,4.515823125,0.508363171,1,0.369565217,0,0.757894737,1,0,0.88,TRUE,FALSE,4
4469,309868,17 0258  LL1333,E6,0,1190 NORTHWEST DR NW,ATLANTA BOARD OF EDUCATION,4831300,4816800,14500,0,1926720,5800,17.84,ATLANTA BOARD OF EDUCATION,0.996998737,1,NA,1,4.382102425,0.471926987,1,0,0.333333333,0.736842105,1,0,0.84,FALSE,TRUE,4
4493,201446,14F0051  LL0608,E3,0,0 BAKERS FERRY RD SW REAR,ATLANTA BOARD OF EDUCATION,521900,521900,0,0,208760,0,6.04,ATLANTA BOARD OF EDUCATION,1,1,1,NA,4.251626999,0.559681919,0,0.47826087,1,0.873684211,0.5,0,0.84,TRUE,FALSE,4
